"","Symbol","ensembl_id","top50","max_PropZero","PropZero_filter","rank_invar","Gene Type","t"
"9978","CLDN2","ENSG00000165376",FALSE,NA,FALSE,NA,NA,10.0478270867266
"9979","RBM41","ENSG00000089682",TRUE,0.903225806451613,FALSE,NA,NA,96.7445148166239
"9980","NUP62CL","ENSG00000198088",FALSE,NA,FALSE,NA,NA,15.9824327910246
"9981","FRMPD3-AS1","ENSG00000227610",FALSE,NA,FALSE,NA,NA,13.421881997713
"9982","FRMPD3","ENSG00000147234",TRUE,1,FALSE,NA,NA,29.7853210350825
"9983","PRPS1","ENSG00000147224",FALSE,NA,FALSE,NA,NA,36.6161755523571
"9984","TSC22D3","ENSG00000157514",TRUE,0.989690721649485,FALSE,NA,NA,41.0325162507773
"9985","NCBP2L","ENSG00000170935",FALSE,NA,FALSE,NA,NA,4.42466767258005
"9986","MID2","ENSG00000080561",TRUE,1,FALSE,NA,NA,69.5087036633471
"9987","AL034399.2","ENSG00000236064",FALSE,NA,FALSE,NA,NA,34.5363804442629
"9988","VSIG1","ENSG00000101842",FALSE,NA,FALSE,NA,NA,28.2517992771961
"9989","PSMD10","ENSG00000101843",FALSE,NA,FALSE,NA,NA,31.2918974424503
"9990","ATG4A","ENSG00000101844",TRUE,1,FALSE,NA,NA,54.867669764866
"9991","COL4A6","ENSG00000197565",FALSE,NA,FALSE,NA,NA,18.4233912815274
"9992","COL4A5","ENSG00000188153",TRUE,0.974245115452931,FALSE,NA,NA,109.034040707456
"9993","AL035425.2","ENSG00000260548",FALSE,NA,FALSE,NA,NA,13.8414390751998
"9994","IRS4","ENSG00000133124",FALSE,NA,FALSE,NA,NA,5.41883427640429
"9995","AL035425.1","ENSG00000237863",FALSE,NA,FALSE,NA,NA,6.91510914056142
"9996","GUCY2F","ENSG00000101890",FALSE,NA,FALSE,NA,NA,10.9389754444649
"9997","NXT2","ENSG00000101888",FALSE,NA,FALSE,NA,NA,11.4785196363266
"9998","ACSL4","ENSG00000068366",TRUE,0.838709677419355,FALSE,NA,NA,118.821314867777
"9999","TMEM164","ENSG00000157600",TRUE,0.953970331588133,FALSE,NA,NA,98.836057111973
"10000","AMMECR1","ENSG00000101935",TRUE,0.9375,FALSE,NA,NA,91.6666989941184
"10001","RTL9","ENSG00000243978",TRUE,1,FALSE,NA,NA,33.3247005242317
"10002","CHRDL1","ENSG00000101938",TRUE,1,FALSE,NA,NA,43.4097978330694
"10003","PAK3","ENSG00000077264",TRUE,0.981349911190053,FALSE,NA,NA,137.582015468655
"10004","DCX","ENSG00000077279",TRUE,1,FALSE,NA,NA,87.5656172224846
"10005","ALG13","ENSG00000101901",TRUE,0.751918158567775,FALSE,NA,NA,122.553927384668
"10006","ALG13-AS1","ENSG00000229487",FALSE,NA,FALSE,NA,NA,15.9816070743552
"10007","TRPC5","ENSG00000072315",TRUE,1,FALSE,NA,NA,46.1432258958279
"10008","TRPC5OS","ENSG00000204025",FALSE,NA,FALSE,NA,NA,11.9816646670327
"10009","LHFPL1","ENSG00000182508",FALSE,NA,FALSE,NA,NA,22.5276955787474
"10010","AMOT","ENSG00000126016",TRUE,1,FALSE,NA,NA,48.9134231805968
"10011","XACT","ENSG00000241743",TRUE,1,FALSE,NA,NA,28.1410482826785
"10012","HTR2C","ENSG00000147246",TRUE,1,FALSE,NA,NA,35.8109296500421
"10013","IL13RA2","ENSG00000123496",FALSE,NA,FALSE,NA,NA,16.8727932513803
"10014","LRCH2","ENSG00000130224",TRUE,1,FALSE,NA,NA,99.1666682252642
"10015","PLS3-AS1","ENSG00000271826",TRUE,1,FALSE,NA,NA,28.6600429876435
"10016","PLS3","ENSG00000102024",TRUE,1,FALSE,NA,NA,62.8779351294764
"10017","DANT2","ENSG00000235244",TRUE,0.984848484848485,FALSE,NA,NA,171.72022925456
"10018","KLHL13","ENSG00000003096",TRUE,0.987113402061856,FALSE,NA,NA,59.4197590811121
"10019","WDR44","ENSG00000131725",TRUE,0.785166240409207,FALSE,NA,NA,110.825579436856
"10020","DOCK11","ENSG00000147251",TRUE,0.951406649616368,FALSE,NA,NA,85.8765656452408
"10021","IL13RA1","ENSG00000131724",TRUE,0.992840095465394,FALSE,NA,NA,36.2138591656093
"10022","ZCCHC12","ENSG00000174460",FALSE,NA,FALSE,NA,NA,31.077152720323
"10023","LINC01285","ENSG00000203650",TRUE,1,FALSE,NA,NA,59.6078351571967
"10024","LONRF3","ENSG00000175556",TRUE,1,FALSE,NA,NA,29.8152641132688
"10025","KIAA1210","ENSG00000250423",FALSE,NA,FALSE,NA,NA,9.66074454883954
"10026","PGRMC1","ENSG00000101856",TRUE,0.984848484848485,FALSE,NA,NA,69.2568189359428
"10027","AC004835.1","ENSG00000230392",FALSE,NA,FALSE,NA,NA,21.3199485656689
"10028","AC004973.1","ENSG00000226661",FALSE,NA,FALSE,NA,NA,16.0827201627823
"10029","SLC25A43","ENSG00000077713",TRUE,1,FALSE,NA,NA,52.224130993663
"10030","SLC25A5","ENSG00000005022",FALSE,NA,FALSE,NA,NA,34.0107601699089
"10031","CXorf56","ENSG00000018610",TRUE,0.974226804123711,FALSE,NA,NA,51.3480518286064
